Time,C6_avg,psi6,V,S-2,S-1,S0
459.9999,3.20667,0.0782,2.0,0.0,0.0,0.0
479.9999,3.29333,0.13112,2.0,0.0,0.0,0.0
529.9999,3.02667,0.02276,2.0,0.0,0.0,0.0
549.9999,3.08,0.04513,2.0,0.0,0.0,0.0
569.9999,3.04667,0.10135,2.0,0.0,0.0,0.0
599.9999,3.16667,0.02526,2.0,0.0,0.0,0.0
609.9999,3.24667,0.12128,2.0,0.0,0.0,0.0
619.9999,3.06,0.08062000000000001,2.0,0.0,0.0,0.0
639.9999,3.02,0.18039,2.0,0.0,0.0,0.0
649.9999,3.1266700000000003,0.10984,2.0,0.0,0.0,0.0
659.9999,3.0,0.08827,2.0,0.0,0.0,0.0
679.9999,2.99333,0.10215,2.0,0.0,0.0,0.0
689.9999,3.16,0.10793,2.0,0.0,0.0,0.0
709.9999,3.22,0.0755,2.0,0.0,0.0,0.0
719.9999,3.02,0.01177,2.0,0.0,0.0,0.0
729.9999,3.23333,0.08544,2.0,0.0,0.0,0.0
739.9999,3.18,0.053979999999999986,2.0,0.0,0.0,0.0
769.9999,3.22667,0.17326,2.0,0.0,0.0,0.0
779.9999,3.16667,0.17816,2.0,0.0,0.0,0.0
789.9999,3.1,0.09522,2.0,0.0,0.0,0.0
799.9999,3.27333,0.07162,2.0,0.0,0.0,0.0
819.9999,3.0,0.10185,2.0,0.0,0.0,0.0
869.9999,3.16667,0.20165,2.0,0.0,0.0,0.0
879.9999,3.04,0.1364,2.0,0.0,0.0,0.0
889.9999,3.04,0.15937,2.0,0.0,0.0,0.0
99.9999,1.72,0.06116,1.0,0.0,0.0,0.0
199.9999,2.42667,0.08906,2.0,0.0,0.0,1.0
399.9999,3.753330000000001,0.07745,2.0,1.0,0.0,1.0
599.9999,5.30667,0.1431,4.0,1.0,1.0,0.0
899.9999,3.1,0.18638,2.0,0.0,0.0,0.0
99.9999,1.72,0.06116,1.0,0.0,0.0,0.0
399.9999,3.753330000000001,0.07745,2.0,1.0,0.0,0.0
799.9999,3.5533300000000003,0.23985,2.0,1.0,0.0,0.0
899.9999,3.33333,0.20753,2.0,0.0,0.0,2.0
99.9999,4.14,0.09798,3.0,0.0,1.0,1.0
199.9999,5.29333,0.71163,4.0,1.0,1.0,2.0
299.9999,5.53333,0.98965,4.0,1.0,2.0,1.0
499.9999,3.78667,0.44577,2.0,1.0,0.0,0.0
599.9999,3.33333,0.32927,2.0,0.0,0.0,0.0
699.9999,2.67333,0.14867,1.0,0.0,0.0,0.0
799.9999,3.97333,0.19823,3.0,0.0,0.0,1.0
899.9999,4.46,0.23598,3.0,0.0,1.0,0.0
99.9999,2.59333,0.09611,2.0,0.0,0.0,1.0
199.9999,5.28,0.68255,4.0,0.0,1.0,2.0
299.9999,5.486669999999998,0.97583,4.0,1.0,2.0,1.0
399.9999,4.29333,0.6233,2.0,2.0,1.0,2.0
499.9999,5.52,0.99427,4.0,1.0,2.0,1.0
599.9999,4.16667,0.52175,2.0,2.0,1.0,2.0
899.9999,2.79333,0.32079,1.0,1.0,0.0,0.0
199.9999,5.28667,0.23384,4.0,0.0,1.0,1.0
299.9999,4.65333,0.27987,3.0,1.0,1.0,1.0
499.9999,5.25333,0.23023,4.0,1.0,1.0,1.0
899.9999,2.95333,0.12257,2.0,0.0,0.0,1.0
99.9999,2.59333,0.09611,2.0,0.0,0.0,1.0
199.9999,4.16667,0.16079000000000002,3.0,0.0,1.0,0.0
399.9999,4.3133300000000006,0.49334,3.0,0.0,1.0,1.0
599.9999,4.91333,0.72004,3.0,1.0,1.0,2.0
699.9999,5.54667,0.99134,4.0,1.0,2.0,2.0
899.9999,4.4333300000000015,0.6069,2.0,2.0,1.0,1.0
99.9999,1.72,0.06116,1.0,0.0,0.0,0.0
299.9999,1.98667,0.10545,1.0,0.0,0.0,1.0
399.9999,4.05333,0.30854000000000004,3.0,0.0,1.0,0.0
799.9999,4.33333,0.40181,3.0,0.0,1.0,0.0
899.9999,2.82667,0.25475,1.0,1.0,0.0,1.0
199.9999,4.4333300000000015,0.63337,2.0,2.0,1.0,0.0
299.9999,2.68667,0.17861,1.0,1.0,0.0,2.0
399.9999,5.54,0.99411,4.0,0.0,2.0,1.0
499.9999,4.3533300000000015,0.5865,2.0,2.0,1.0,2.0
599.9999,5.54,0.99152,4.0,1.0,2.0,1.0
699.9999,4.56,0.63554,2.0,2.0,1.0,1.0
799.9999,4.92667,0.68576,3.0,1.0,1.0,1.0
899.9999,4.90667,0.72975,3.0,1.0,1.0,0.0
299.9999,2.68667,0.17861,1.0,1.0,0.0,1.0
399.9999,4.07333,0.41835,3.0,0.0,1.0,2.0
599.9999,4.38667,0.5647399999999999,2.0,2.0,1.0,0.0
699.9999,3.82667,0.38429,2.0,1.0,0.0,0.0
899.9999,5.3133300000000006,0.77369,4.0,0.0,1.0,1.0
199.9999,5.28,0.68255,4.0,0.0,1.0,0.0
299.9999,3.68667,0.3749,1.0,1.0,0.0,0.0
599.9999,2.74,0.12405,1.0,0.0,0.0,2.0
699.9999,5.50667,0.9940000000000001,4.0,0.0,2.0,0.0
799.9999,3.90667,0.52682,1.0,2.0,0.0,0.0
99.9999,5.54667,0.99502,4.0,0.0,2.0,2.0
104.9999,5.54667,0.99053,4.0,0.0,2.0,2.0
109.9999,5.54667,0.99352,4.0,1.0,2.0,2.0
114.9999,5.53333,0.98671,4.0,1.0,2.0,2.0
119.9999,5.54667,0.99232,4.0,1.0,2.0,2.0
