Time,C6_avg,psi6,V,S_cnn,S_param,Path,Step
399.9999,5.57333,0.99487,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,40
419.9999,5.57333,0.99612,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,42
429.9999,5.57333,0.99458,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,43
439.9999,5.57333,0.99685,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,44
449.9999,5.57333,0.99444,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,45
459.9999,5.57333,0.99518,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,46
469.9999,5.57333,0.99609,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,47
479.9999,5.57333,0.99506,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,48
489.9999,5.57333,0.99502,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,49
499.9999,5.57333,0.99437,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,50
509.9999,5.57333,0.99467,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,51
519.9999,5.57333,0.99618,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,52
