,S-1,S-2,S-3,S-4,V
413,2.0,2.0,2.0,2.0,4.0
414,2.0,2.0,2.0,2.0,4.0
415,2.0,2.0,2.0,2.0,4.0
416,2.0,2.0,2.0,2.0,4.0
417,2.0,2.0,2.0,2.0,4.0
418,2.0,2.0,2.0,2.0,4.0
419,2.0,2.0,2.0,2.0,4.0
420,2.0,2.0,2.0,2.0,4.0
421,2.0,2.0,2.0,2.0,4.0
422,2.0,2.0,2.0,2.0,4.0
423,2.0,2.0,2.0,2.0,4.0
424,2.0,2.0,2.0,2.0,4.0
425,2.0,2.0,2.0,2.0,4.0
426,2.0,2.0,2.0,2.0,4.0
427,2.0,2.0,2.0,2.0,4.0
428,2.0,2.0,2.0,2.0,4.0
429,2.0,2.0,2.0,2.0,4.0
430,2.0,2.0,2.0,2.0,4.0
431,2.0,2.0,2.0,2.0,4.0
432,2.0,2.0,2.0,2.0,4.0
433,2.0,2.0,2.0,2.0,4.0
434,2.0,2.0,2.0,2.0,4.0
435,2.0,2.0,2.0,2.0,4.0
436,2.0,2.0,2.0,2.0,4.0
437,2.0,2.0,2.0,2.0,4.0
438,2.0,2.0,2.0,2.0,4.0
439,0.0,0.0,0.0,0.0,3.0
440,0.0,0.0,0.0,0.0,3.0
441,0.0,0.0,0.0,0.0,3.0
442,0.0,0.0,0.0,0.0,3.0
443,0.0,0.0,0.0,0.0,3.0
444,0.0,0.0,0.0,0.0,3.0
445,0.0,0.0,0.0,0.0,3.0
446,0.0,0.0,0.0,0.0,3.0
447,1.0,0.0,0.0,0.0,3.0
448,0.0,0.0,1.0,0.0,3.0
449,0.0,0.0,0.0,1.0,3.0
450,0.0,0.0,0.0,0.0,3.0
451,0.0,0.0,0.0,0.0,3.0
452,0.0,0.0,0.0,0.0,3.0
453,0.0,0.0,0.0,0.0,3.0
454,0.0,0.0,0.0,0.0,3.0
455,1.0,1.0,1.0,0.0,3.0
456,1.0,1.0,1.0,1.0,3.0
457,1.0,1.0,1.0,1.0,3.0
458,1.0,1.0,1.0,1.0,3.0
459,1.0,1.0,1.0,1.0,3.0
460,1.0,1.0,1.0,1.0,3.0
461,1.0,1.0,1.0,1.0,3.0
462,1.0,1.0,1.0,1.0,3.0
463,1.0,1.0,1.0,1.0,3.0
464,1.0,1.0,1.0,1.0,3.0
465,1.0,1.0,1.0,1.0,3.0
466,1.0,1.0,1.0,1.0,3.0
467,1.0,1.0,1.0,1.0,3.0
468,1.0,1.0,1.0,1.0,3.0
469,1.0,1.0,1.0,1.0,3.0
470,1.0,1.0,1.0,1.0,3.0
471,1.0,1.0,1.0,1.0,3.0
472,1.0,1.0,1.0,1.0,3.0
473,1.0,1.0,1.0,1.0,3.0
474,1.0,1.0,1.0,1.0,3.0
